time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
21169,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
21169,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
21169,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
21169,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
21717,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
21717,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
21717,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
21717,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
21717,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
21717,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
21717,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
21717,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
22265,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
22265,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
22265,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
22265,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
22265,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
22265,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
22265,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
22265,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
22813,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
22813,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
22813,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
22813,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
22813,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
22813,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
22813,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
22813,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
23371,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
23371,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
23371,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
23371,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
23371,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
23371,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
23371,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
23371,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
23934,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
23934,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
23934,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
23934,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
23934,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
23934,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
23934,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
23934,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
24497,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
24497,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
24497,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
24497,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
24497,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
24497,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
24497,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
24497,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
25060,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
25060,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
25060,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
25060,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
25060,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
25060,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
25060,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
25060,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
25623,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
25623,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
25623,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
25623,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
25623,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
25623,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
25623,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
25623,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
26186,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
26186,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
26186,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
26186,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
26186,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
26186,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
26186,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
26186,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
26749,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
26749,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
26749,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
26749,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
26749,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
26749,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
26749,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
26749,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
27312,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
27312,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
27312,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
27312,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
27312,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
27312,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
27312,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
27312,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
27860,2,3,0,2,3,500000003,8192,2048,1,1,0.25,0
27860,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
27860,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
27860,5,6,0,5,6,500000003,8192,2048,1,1,0.25,0
27860,6,7,0,6,7,500000003,8192,2048,1,1,0.25,0
27860,7,0,0,7,0,500000003,8192,2048,1,1,0.25,0
27860,0,1,0,0,1,500000003,8192,2048,1,1,0.25,0
27860,1,2,0,1,2,500000003,8192,2048,1,1,0.25,0
28408,3,4,0,3,4,500000003,8192,2048,1,1,0.25,0
28408,4,5,0,4,5,500000003,8192,2048,1,1,0.25,0
